Size (sq ft),Location,Security,Garage,Floor_Number,Number_of_Rooms,Built_Year,Price (in $1000s)
3949,1,1,0,9,2,1991,397.73
1000,1,0,1,8,3,1992,139.87
610,0,1,1,12,4,1985,110.45
1168,1,0,0,9,3,1995,139.93
1734,1,0,0,13,7,1986,252.38
3215,1,1,0,15,3,2000,336.94
2830,1,0,1,7,9,1980,353.04
1710,0,1,0,5,9,1995,247.91
1578,0,1,0,7,6,1990,180.98
3387,1,1,0,10,9,1988,394.35
2066,0,1,1,15,9,1982,249.86
3980,0,0,1,3,2,1986,351.3
3131,0,1,0,13,4,2018,290.32
2727,0,1,1,11,9,1988,338.3
3986,1,0,1,10,5,2004,432.62
3266,0,0,0,13,10,1980,331.08
2580,0,1,0,4,9,2022,323.08
1893,0,1,0,11,7,1985,220.49
3823,1,0,0,2,3,2012,393.22
3329,1,0,1,1,6,2002,396.17
2729,1,1,0,7,7,2015,361.77
3527,0,0,1,2,4,1990,321.87
768,0,1,0,12,8,2012,171.07
2080,1,0,1,1,2,2018,249.02
3965,1,0,1,1,2,2016,391.09
2863,0,0,0,9,2,2001,235.13
1667,1,0,1,8,2,2010,201.01
1423,1,1,1,10,6,2013,270.34
3807,1,1,0,6,7,2002,438.39
2298,0,1,0,15,9,2022,285.4
657,1,0,1,9,3,2001,135.5
506,1,0,0,10,10,2009,179.7
1439,0,0,1,3,3,2023,145.96
2364,1,1,0,11,8,2017,335.75
3818,1,0,1,5,8,1985,419.29
1653,0,0,0,4,10,1997,202.38
3323,1,0,1,14,8,2010,398.01
3397,0,1,0,10,5,1995,317.72
704,1,1,1,7,9,2007,240.73
593,1,1,0,10,9,1985,203.66
1147,1,0,0,3,2,2008,168.43
534,1,1,1,7,8,1992,203.17
2714,0,0,0,10,10,2020,296.6
2737,0,1,1,1,4,1983,260.14
2998,0,1,0,8,10,2005,367
3381,0,1,1,6,2,1996,297.2
2112,0,1,1,4,7,2013,248.1
2610,0,1,1,15,8,2004,327.6
2414,0,1,1,1,8,1996,290.82
3818,1,0,1,7,8,2004,428.99
1909,0,1,1,13,5,1989,214.62
2713,0,1,0,4,7,1991,304
2782,1,1,1,5,6,2022,354.42
2798,1,1,0,6,3,1996,308.61
2637,1,0,0,3,8,2012,342.09
1525,0,0,0,4,4,2000,132.01
1675,1,0,1,9,8,1982,261.7
2372,1,1,1,14,5,2012,312.15
2691,0,1,0,14,4,2010,275.68
2557,1,0,1,1,4,2005,318.22
1313,0,1,0,4,3,2008,143.78
3795,0,0,0,8,2,2011,311.9
2936,0,0,1,4,9,2011,328.2
3052,1,1,1,10,3,2000,343.2
3053,1,0,1,1,10,2002,384.37
787,0,1,0,15,3,2007,90.95
1986,1,1,1,11,7,1988,280.32
1545,0,1,1,6,7,1989,216.47
3717,0,0,0,14,6,2022,340.61
2893,1,0,1,5,8,2022,381.83
2586,0,0,1,14,6,2022,267.6
1796,1,1,1,7,8,1997,306.23
3014,0,1,1,6,9,2005,362.14
1309,0,1,1,12,4,2019,159.89
2021,1,1,0,14,8,2019,290.43
1983,1,0,1,5,4,2022,261.88
1861,0,1,0,12,6,2017,217.52
1295,1,1,0,9,8,1989,224.11
2630,0,0,0,10,10,2004,313.46
1591,1,0,0,8,5,1990,227.55
2656,1,0,1,15,5,2020,335.07
2569,1,1,1,4,3,1997,308.81
1229,1,0,0,13,7,1992,217.96
1099,1,1,0,4,6,2017,197.03
2990,0,1,1,7,8,2021,365.67
3141,0,0,0,9,6,2001,296.89
3105,1,0,0,2,7,2007,355.3
2258,1,0,1,7,3,2000,271.68
3903,1,0,1,6,2,2024,399.29
1201,1,0,0,8,10,2008,222.67
1409,1,1,1,14,2,2010,194.22
3570,0,1,0,6,9,2018,398.14
2819,0,0,0,13,4,1986,254.7
3352,0,1,0,9,3,2014,295.69
1990,1,0,1,4,4,2008,264.94
3869,0,0,1,15,10,1993,391.01
3209,1,0,1,2,8,1994,385.68
2721,1,1,0,5,8,1990,335.9
3685,1,1,1,1,7,2021,465.76
2882,1,0,1,7,7,1981,330.33
1220,1,1,0,2,10,1989,261.56
2516,1,1,1,5,10,1980,358.55
3671,0,1,0,9,6,1994,348.79
878,0,0,0,4,6,2004,109.6
2918,1,1,0,9,9,2002,365.45
1454,1,0,1,12,3,2000,214.73
1733,0,0,1,13,10,1998,249.94
3576,1,0,1,6,2,2021,362.3
3713,0,0,0,8,8,1992,369.51
3254,1,1,0,5,5,2015,376.6
1949,1,0,0,14,3,1986,231.37
3416,1,0,0,4,3,2001,321.44
2328,1,1,0,13,9,2010,328.47
780,1,0,1,9,2,1995,128.25
2856,0,1,0,1,4,1989,258.84
3068,0,0,1,12,5,1983,285.84
2841,1,0,0,15,3,2018,299.18
2720,0,0,1,15,7,2000,278.46
3875,1,1,0,10,8,2004,459.38
1720,1,0,1,14,7,1998,247.6
2224,1,1,1,11,7,2012,324.76
2621,1,0,0,6,4,2009,292.92
2901,1,0,0,13,9,2005,364.77
2149,0,1,1,12,3,2002,231.77
1881,1,0,0,4,3,2021,216.26
1838,0,1,0,3,9,2016,243.75
1068,1,0,1,9,4,2022,208.31
3803,0,1,1,6,7,2014,411.47
1736,1,0,0,2,10,2009,299.16
3828,1,0,1,14,8,2010,432.66
2206,1,0,1,1,2,2013,269.37
3162,0,0,0,14,8,1995,336.9
1502,1,1,1,14,8,1987,261.37
3577,1,1,1,8,7,2008,430.27
3733,1,0,1,7,10,2024,450.83
2057,1,0,0,4,8,1993,277.69
1011,1,1,0,5,9,1991,238.38
2128,0,0,0,3,8,2011,231.28
2896,1,0,0,5,8,1999,334.89
1130,1,1,1,5,5,2018,232.24
2652,1,1,1,4,6,1982,330.38
3033,1,0,1,10,4,1980,337.67
2045,1,0,1,6,8,1996,302.95
665,0,1,1,7,3,1991,81.71
3239,0,1,1,5,2,1987,313.1
3362,0,0,0,2,4,1980,277.53
3018,0,1,0,15,5,2010,290.55
953,1,0,1,2,7,1992,182.35
1928,1,1,1,2,2,1997,249.22
824,1,0,1,13,8,2005,220.65
2476,0,0,1,1,5,2023,276.21
1690,0,1,1,3,10,2011,254.58
2325,0,1,0,6,9,1984,281.83
848,1,1,0,11,9,2007,200.23
870,1,0,1,10,10,2011,217.86
3832,0,0,0,4,8,1990,365.41
3322,1,0,0,15,7,1981,344.86
2090,0,1,1,15,5,2021,234.19
2388,1,1,0,14,9,1989,313.25
3651,1,1,0,15,9,2016,464.03
2890,1,1,0,6,7,1995,356.13
833,1,0,1,14,2,1996,137.07
958,0,1,0,2,3,2001,127.42
1211,1,1,1,9,2,1983,187.52
3040,1,0,1,4,9,1995,387.85
3092,1,1,1,5,3,1985,341.91
3452,1,1,0,2,3,2002,356.65
2246,0,1,1,9,9,1997,274.01
3923,0,0,0,2,3,1998,316.93
3562,1,1,0,10,9,1982,419.24
1630,1,0,1,10,7,1994,254.1
1790,1,1,1,14,6,2011,301.07
3405,1,1,0,10,4,2009,355.28
2005,1,1,0,2,4,1998,274.45
1296,0,0,1,5,9,2009,203.04
2910,0,0,1,12,2,2007,253.62
3692,1,1,0,12,4,2020,420.06
943,0,0,1,5,3,1981,103.2
3784,1,0,1,14,8,2012,438.88
560,0,1,1,14,6,1988,138.53
2116,0,0,1,15,8,2009,260.37
1818,0,1,1,14,10,2008,283.46
1336,0,1,1,4,8,2015,205.4
2733,0,0,1,4,2,1984,236.18
1694,0,0,0,1,6,1990,193.35
1399,1,1,1,15,6,1998,234.43
3591,1,1,1,9,2,2015,375.53
2200,1,1,1,6,4,1984,291.08
3874,1,0,0,5,9,2021,459.95
2201,0,0,1,6,10,2021,284.08
3114,0,0,0,7,4,1991,285.45
1338,1,1,1,5,4,2009,226.35
2545,0,0,0,14,9,2001,267.04
2959,1,1,1,15,6,1989,365.3
693,1,1,1,14,9,1999,218.69
3501,1,1,1,15,9,1995,428.71
3651,0,0,1,7,5,2012,353.88
1349,1,0,1,7,5,1989,212.97
3704,0,0,0,8,8,2019,354.49
3147,0,0,0,7,9,2010,320.11
1878,1,0,1,6,7,2000,290.51
567,0,1,0,13,7,2014,136.38
3128,1,1,1,14,5,1998,352.52
3418,0,1,0,8,10,1987,359.28
3170,1,0,1,13,2,1992,336.76
1658,1,1,1,2,9,1988,288.61
3843,1,1,0,4,5,1982,424.17
3092,0,1,1,12,7,2000,358.37
3271,1,0,1,10,2,1996,328.3
3827,1,1,0,15,8,2012,439.08
1222,0,1,0,4,7,2012,169.18
2898,0,0,1,8,6,1992,284.21
2867,1,1,0,5,4,2010,334.93
3902,1,0,1,8,9,1981,441.34
1326,0,1,1,8,7,1995,198.22
3477,1,1,0,4,4,1992,377.25
2904,1,0,1,7,10,1987,384.54
2060,1,0,0,8,6,2023,292.5
995,0,1,0,8,2,2002,95.02
2504,1,1,1,3,4,2017,313.01
2280,0,1,0,8,4,1983,217.33
2731,1,1,1,7,10,1984,366.51
763,0,1,0,13,2,2016,116.16
3131,1,0,1,15,6,1994,350.9
2989,0,1,1,10,5,2021,331.91
584,1,0,1,2,5,2000,145.93
1815,1,0,0,4,9,2001,283.08
1106,0,1,0,14,8,1989,188.93
2555,0,0,1,9,7,2021,285.45
2902,1,0,0,7,7,2001,339.28
3165,1,0,0,7,7,1987,340.68
3712,1,1,0,11,6,1981,422.38
967,0,1,0,12,5,2017,135.47
2390,0,1,1,13,2,2008,249.61
949,0,1,1,9,10,2022,193.65
737,1,1,1,13,9,1992,219.5
2574,1,1,0,6,3,1982,301.54
1424,1,1,1,12,5,2018,256.8
2540,1,0,0,7,10,2009,352.18
1204,1,1,1,3,9,2016,276.17
3273,1,0,1,12,2,1994,338.5
3953,1,1,1,9,6,2012,440.45
2897,1,0,1,4,6,2020,350.53
2001,1,1,0,2,7,2022,300.11
3314,0,1,1,6,8,2016,368.33
1226,1,0,0,13,7,2011,200.08
2380,1,1,1,10,7,2023,335.1
2580,0,1,1,4,7,1985,297.64
1351,0,1,1,4,7,2008,186.82
2010,1,0,0,11,2,2009,235.02
654,1,0,0,5,3,1996,104.92
1335,1,0,0,10,5,1997,212.43
518,0,0,1,10,2,2014,56.48
2607,0,1,0,1,10,2014,312.67
3805,1,0,0,6,4,1991,372.29
2553,0,0,0,1,4,2018,237.81
1142,1,0,0,1,8,1991,209.52
1262,1,1,1,4,10,2020,298.51
2723,1,0,1,3,4,1980,302.02
1602,0,1,0,10,2,1983,165.53
2709,0,1,1,2,6,2016,319.9
1920,0,1,0,15,4,1990,212.13
2776,0,1,1,12,6,1984,296.05
2780,0,1,0,1,8,2022,333.11
2845,1,1,0,6,2,2012,324.26
939,0,0,0,14,4,2009,124.19
665,0,1,0,13,2,1994,84.23
3686,0,0,0,15,3,1994,297.74
2188,1,1,0,2,4,2014,291.46
1613,0,0,1,9,7,1987,205.32
3783,0,1,0,15,10,1984,391.41
1287,1,1,1,15,2,1989,172.72
1252,1,0,1,10,7,2007,231.19
3589,1,1,0,8,9,2008,457.22
1994,0,0,1,1,7,2006,241.53
3184,0,0,0,2,9,2007,329.1
3188,0,1,1,15,8,2003,366.02
521,1,0,1,11,6,2001,146.63
509,0,1,0,6,3,1990,56.53
2580,0,0,1,15,7,2013,293.88
3043,1,1,1,3,6,1981,385.2
523,0,0,1,9,7,2004,131.76
1385,0,0,1,11,2,2010,119.24
1509,0,1,0,6,4,2015,165.16
521,0,0,0,12,5,1981,61.3
2379,0,1,1,1,5,2013,253.98
1074,1,1,1,10,2,1990,158.99
619,0,1,1,8,10,1992,148.16
869,0,1,0,15,9,2016,194.47
1866,1,0,1,13,3,1998,249.25
867,0,1,1,4,6,1990,148.9
2150,1,1,0,12,9,2014,334.58
1865,1,0,0,8,10,1999,303.03
2123,0,0,0,4,2,2015,185.46
2108,1,0,1,13,10,1995,325.78
902,1,1,0,9,3,1994,158.08
1700,0,1,1,2,5,2015,203
1226,1,1,1,13,7,2014,239.35
3764,0,1,0,1,9,1980,383.72
3265,0,0,0,8,10,2009,371.46
1360,0,0,1,6,2,2004,124.14
2137,0,0,0,11,6,2021,246.52
1484,0,0,1,7,10,1990,199.15
3326,0,0,0,12,4,1989,292.86
3222,0,1,1,9,8,2009,365.18
3935,1,0,1,1,8,1987,427.21
3140,0,0,1,2,7,2017,347.61
2918,0,0,0,9,10,2007,321.25
2997,1,1,1,2,6,1982,371.71
3539,1,0,0,3,8,2008,415.64
3046,0,0,1,7,6,2024,331.37
1331,0,0,1,11,5,2014,177.01
1085,1,1,0,6,8,2024,251.92
1119,0,1,1,12,9,2013,189.21
2992,1,0,0,12,6,1983,313.71
3228,1,0,1,14,6,2002,381.9
2725,1,1,0,12,7,2012,339.84
3586,0,0,1,13,7,2000,357.21
2246,0,0,0,15,3,1989,192.96
2533,0,1,0,9,3,2023,245.41
691,1,0,1,13,8,2012,188.07
1080,0,0,1,8,6,2012,157.1
2375,0,0,0,9,3,1995,220
1605,1,0,0,10,6,2001,231.43
776,1,0,0,12,3,2013,147.53
1244,0,1,1,3,10,1988,221.94
2612,0,1,0,12,7,1998,279.69
2481,1,0,0,4,9,1988,310.94
2722,0,0,1,1,3,1990,246.46
2096,0,0,1,7,7,2009,232.61
1147,0,1,1,10,6,2004,158.39
1150,1,0,1,9,2,2021,162.72
2474,1,1,1,6,9,1986,356.77
1137,0,0,1,4,2,2006,99.1
2885,0,1,0,6,3,2001,264.9
3271,0,0,0,5,2,1995,280.91
1734,1,1,1,2,9,1980,308.71
637,1,0,0,1,4,2015,129.66
2520,0,0,1,15,2,2005,216.44
3867,1,0,1,14,6,1987,425.06
682,1,0,1,10,4,2010,165.95
3808,1,1,1,10,7,1992,423.82
787,0,1,0,1,10,1995,159.56
1055,0,0,1,15,10,2022,200.3
2027,0,1,0,2,9,2021,260.32
779,0,1,0,3,6,1996,122.62
3881,1,0,1,4,6,2011,411.85
759,1,0,1,2,8,1993,191.98
1131,0,1,0,15,6,2004,158.92
1883,1,1,0,5,7,2022,290.04
3028,0,0,1,8,10,1983,355.9
2386,0,0,0,7,7,1997,242
1370,0,0,0,2,8,2018,167.26
3778,0,1,1,11,10,2006,416.54
993,1,0,1,3,10,1988,217.37
966,1,1,0,1,5,1982,165.8
2988,1,0,0,3,3,1984,289.2
2460,0,1,1,2,6,2001,296.18
992,1,1,1,1,8,2011,236.09
3950,1,1,0,5,6,1990,435.13
1014,0,0,1,3,2,1983,76.35
2339,1,0,1,5,8,1994,311.41
2706,1,1,0,10,10,2024,379.78
2108,1,1,0,12,3,2018,283.09
1147,0,0,0,14,5,2020,127.57
1781,0,1,0,8,2,1992,149.21
3665,1,1,0,6,7,1981,423.19
2125,1,0,0,10,3,2012,255.19
3207,1,1,1,1,3,2021,362.03
3224,1,0,0,15,8,1997,370.26
1505,0,1,1,2,9,1992,223.4
2553,1,0,0,13,5,2005,297.6
2092,1,1,1,11,8,1987,323.97
2821,1,0,1,8,5,2006,318.69
3089,1,0,1,4,4,2004,329.11
1699,1,0,1,2,8,2018,295.84
3601,0,0,1,12,3,1981,324.46
1600,1,0,0,3,4,1999,215.42
608,0,0,1,15,4,1991,82.94
722,0,1,1,8,8,1985,165.11
1582,1,0,1,6,8,1986,240.26
2915,1,0,1,10,8,1981,358.41
2227,1,0,1,7,8,1987,309.41
694,1,0,1,5,2,2010,120.23
3244,0,1,0,5,2,1980,264.26
2879,1,0,1,1,7,1989,363.91
2121,1,0,1,2,7,1988,301.94
840,0,1,0,8,10,1991,168.81
567,1,1,0,9,4,1999,127.31
3565,0,0,0,9,3,2016,318.21
2827,1,1,1,15,6,2018,368.37
2865,1,1,0,13,10,1997,400.18
748,1,1,0,5,7,1981,190.63
1161,1,1,1,1,2,1997,175.63
1348,1,1,0,13,3,2021,197.7
3143,1,1,1,1,10,1992,427.69
3136,0,0,0,13,5,1984,297.59
772,0,0,1,8,10,1980,141.06
2984,0,1,0,10,2,1982,244.68
928,0,1,1,3,6,2018,157.1
1837,1,1,1,6,2,1986,231.9
2640,1,1,1,7,9,1998,365.58
2708,0,1,0,3,7,2023,294.35
1790,0,0,1,14,8,2016,215.54
3899,0,1,0,9,4,2016,360.41
2008,0,1,0,11,10,2007,258.98
2405,0,0,0,14,4,1988,198.24
1341,1,0,1,9,8,1988,231.38
3402,0,1,1,7,3,2012,332.19
1121,1,0,1,7,7,1992,204.77
1752,1,0,0,14,7,1998,228.78
2776,1,1,0,8,9,2000,380.86
3050,0,1,1,5,5,2002,313.14
2162,1,1,0,3,3,2001,264.23
1860,0,1,0,6,9,2005,249.39
970,0,0,0,2,5,2000,113.14
2388,0,0,0,1,6,1998,219.58
735,1,1,0,14,10,2017,211.09
2325,1,0,1,5,2,2018,281.83
1243,0,1,1,4,4,2023,162.47
1462,0,1,0,10,6,1982,187.49
2372,0,0,0,13,10,2014,296.93
2079,0,1,1,3,3,2015,231.59
2543,0,1,0,14,6,1981,261.58
1913,1,0,1,14,4,2012,244.88
948,0,0,1,9,8,2011,166.08
749,0,1,1,12,4,2019,132.58
1697,1,0,0,2,9,1991,261.14
678,0,1,0,5,9,2004,147.65
1080,0,0,1,2,10,2000,187.86
2501,1,1,1,12,5,2023,318.09
2832,1,1,1,14,3,1987,333.44
3295,0,0,1,7,2,2010,299.64
3915,1,0,0,10,10,1992,450.14
764,1,1,0,13,6,2002,162.45
2609,1,1,1,7,7,1983,339.14
3509,0,1,1,12,5,2010,340.56
2350,1,1,1,7,7,1988,342.25
2062,1,1,1,15,9,2024,355.56
626,1,1,0,5,10,2009,204.55
1595,0,1,1,5,7,2014,240.68
2154,1,1,1,2,2,1990,246.38
3654,1,0,0,15,7,1985,391.99
1254,0,1,1,1,2,2002,126.28
1406,1,0,0,5,9,2007,231.56
849,1,0,0,12,10,1982,195.07
3045,0,1,1,10,5,2007,334.54
2542,0,1,0,11,8,1997,301.78
1837,1,1,0,6,10,2004,299.23
2872,1,0,0,5,2,1997,271.35
2084,0,0,1,2,2,1998,200.34
3590,1,1,1,1,8,2007,428.13
3087,1,0,0,12,8,1986,344.98
1637,0,0,1,11,7,2021,195.72
3800,1,1,1,8,8,2013,482.03
2208,1,1,0,14,4,1988,278.31
1633,0,1,1,14,6,1992,226.98
1301,0,1,1,5,4,1989,170.94
2103,1,1,0,8,7,2002,312.69
2702,0,0,0,2,7,1991,263.44
528,1,1,1,1,4,2022,165.85
3963,1,0,0,13,10,1985,437.48
926,1,0,0,10,5,2010,162.17
3392,1,1,1,6,9,1982,426.33
2541,1,1,0,7,4,1992,298.2
1921,0,1,1,14,3,2003,189.26
3945,0,1,1,10,4,2021,390.07
2807,0,1,0,15,6,1980,301.82
2454,0,1,0,2,8,1998,278.62
3647,0,0,0,13,2,2006,321.93
2537,1,0,1,9,4,1990,282.81
2351,0,1,0,11,3,2016,245.79
3854,1,0,0,15,5,1992,387.56
3185,1,0,0,2,3,1984,321.27
3571,0,0,0,1,4,1991,301.14
2523,1,1,0,8,6,2023,338.04
3498,1,0,1,6,8,1987,391.33
2948,0,0,1,3,4,2010,273.77
1488,0,1,0,14,7,1993,183.37
3917,0,0,1,3,6,2003,389.96
1224,1,0,0,6,10,1984,214.31
655,0,0,0,2,3,2004,75.6
897,0,0,0,12,7,2017,129.01
3077,1,1,0,11,9,2022,422.63
1480,1,1,0,12,7,1991,256.45
2341,1,1,0,6,9,2020,341.72
2996,1,0,1,14,9,2017,372.26
3268,0,0,0,6,3,2006,299.26
3723,1,1,1,14,2,1982,378.74
2361,1,0,0,5,6,2007,309.71
2206,1,1,0,12,10,1999,348.66
2126,0,1,0,3,5,2015,219.12
2496,0,1,0,3,3,1999,255.04
3789,0,0,1,13,6,1997,378.15
3090,0,1,0,11,9,2010,368.97
1737,1,0,0,12,8,1991,259.73
1414,0,1,0,3,9,2004,202.62
3856,0,0,0,13,9,2005,368.81
1716,1,0,0,14,3,2022,203.21
3094,0,0,0,2,5,1984,279.78
3050,0,0,1,5,2,2007,283.69
2656,1,0,0,2,4,2019,280.5
1663,1,0,0,15,5,1990,202.54
3242,0,0,1,6,3,2015,300.59
3949,1,0,1,3,3,1998,402.06
842,0,0,1,13,4,2021,125.01
2351,1,0,1,4,7,2003,298.78
1543,0,0,0,15,6,2004,176.06
686,1,1,1,12,6,2010,180.86
778,0,1,1,2,3,2004,117.25
2254,0,0,1,9,8,2011,271.62
1398,1,1,1,11,6,2018,252.23
2679,0,1,1,12,9,2003,342.26
526,0,1,1,3,5,2024,138.68
769,0,1,1,9,7,2021,166.47
3371,0,0,0,15,8,2008,332.69
2316,1,1,0,14,9,2019,354.06
2686,1,0,1,6,2,2024,316.74
810,0,1,1,12,5,1996,144.09
3729,1,0,1,9,4,1996,374.9
3097,1,0,1,3,7,2001,390.43
946,1,0,1,2,6,1996,186.4
2350,0,0,1,13,4,1980,235.21
2782,1,1,1,10,7,1986,370.81
560,1,0,0,8,8,1980,153.77
2982,0,1,1,1,10,2023,365.23
1107,1,0,1,4,3,2013,162.43
1188,1,0,1,6,7,1992,201.1
2364,0,0,1,5,4,2011,237.52
1982,1,1,1,4,7,1999,285.01
609,1,1,0,8,10,1987,184.68
3420,0,1,1,3,5,1996,327.28
816,1,1,0,3,10,2000,211.64
1560,0,1,0,13,10,2012,241.76
2499,0,1,0,15,6,2010,267.8
2903,0,0,0,13,5,1995,278.52
2836,0,1,0,2,7,1989,308.48
2527,1,1,0,13,6,2007,325.07
1968,1,0,0,5,6,2016,256.17
768,0,1,1,13,4,2010,115.54
3817,1,1,1,14,4,2001,403.64
3416,1,0,0,14,6,2002,383.32
2095,1,0,1,15,5,2015,280.17
3630,0,1,1,10,8,1992,392.45
2946,0,0,0,4,4,1992,255.94
3264,0,1,1,10,8,2009,374.53
3783,0,1,0,11,6,2008,357.83
2140,0,0,0,2,8,2020,245.21
2192,0,1,1,8,9,2020,313.14
1590,0,0,0,15,7,1999,201.89
3450,1,0,0,15,9,2015,420.84
2870,1,1,1,7,10,2012,405.59
772,1,1,1,3,5,2010,204.44
1999,0,1,1,13,4,1982,223.88
2088,1,1,0,10,3,1997,246.9
3986,1,0,1,7,2,2001,411.31
1575,0,0,0,14,9,2009,207.44
3482,1,1,0,4,7,2001,410.32
2685,1,1,1,10,4,1991,335.27
3217,1,0,1,1,7,2002,393.6
2832,0,1,1,11,3,2023,290.08
912,0,0,1,8,9,1996,148.87
2241,0,1,0,2,9,2022,300.75
2590,0,1,0,2,4,1981,253.05
2487,0,1,1,1,4,1988,264.75
3838,1,0,1,13,7,2016,445.21
1113,0,1,0,12,2,2019,116.37
3339,1,1,1,5,8,2001,400.55
1193,1,1,0,7,7,2003,212.11
3819,0,1,0,12,4,2012,345.64
2126,0,1,1,3,8,1986,255.04
1394,0,0,0,4,2,1980,98.34
2975,0,1,1,15,7,1997,323.62
2464,0,1,0,12,10,1996,314.08
1444,1,0,0,7,6,1994,222.45
3490,1,1,0,11,6,2000,400.52
2277,1,1,1,15,6,2017,335.57
884,1,1,0,12,4,2020,186.94
1956,0,0,1,3,4,2018,209.06
1416,1,1,0,12,7,1983,233.23
2409,0,0,1,3,10,2023,289.89
1654,1,1,1,8,8,2001,272.46
1481,0,1,0,8,9,1985,227.13
2953,1,0,0,2,7,1993,324.43
3227,0,0,1,5,5,1995,292.16
1180,0,0,1,5,10,2000,208.15
3925,1,1,0,2,3,1992,386.09
2040,0,0,0,10,5,1982,200.77
2778,1,1,1,7,8,1980,350.64
2620,1,0,1,11,8,1997,321.15
2662,0,0,1,6,5,2003,256.79
3204,0,1,0,1,5,1997,330.07
3338,1,1,1,8,10,1994,420.66
2675,0,0,1,12,7,2001,278.24
1208,1,1,1,1,3,1996,188.01
1261,1,0,0,7,8,1995,203.03
3369,0,1,0,8,5,2022,342.91
1037,1,1,0,10,7,2002,194.68
525,1,0,0,9,6,2004,122.06
2666,1,0,0,10,3,1992,261.35
3585,0,0,0,13,10,2011,361.56
2893,0,0,1,10,8,2013,309.71
1819,1,1,1,15,2,1994,221.05
1644,1,1,1,11,8,1986,291.07
2505,1,1,0,8,3,1993,297.07
790,0,1,1,3,8,2000,161.21
3231,1,1,0,9,7,1993,386.7
3640,0,0,1,2,4,2009,324.62
3382,0,1,0,12,4,1994,309.18
3235,1,0,0,8,7,2007,382.57
743,0,0,1,4,8,1989,125.29
3436,0,1,0,12,10,1988,359.1
1212,1,1,1,1,2,1989,201.39
2257,1,0,1,14,7,2014,310.99
2084,0,0,1,6,6,2012,224.87
2021,0,1,0,3,3,1993,181.56
3232,1,0,0,13,7,2019,395.56
1540,0,1,0,2,4,1990,146.99
669,1,1,1,10,2,1990,139.13
1787,1,0,1,10,9,1998,296.66
1422,1,1,0,8,5,2001,210.9
2406,1,0,0,13,8,1982,311.56
3930,1,1,0,4,10,2010,475.44
2217,0,0,0,7,4,2009,214.35
2099,0,1,1,2,3,1980,194.38
739,0,1,1,3,2,1983,105.78
2735,1,0,0,10,2,1985,271.49
1968,1,0,1,4,10,1988,284.79
1487,0,1,1,4,9,1998,241.77
2442,1,1,0,11,10,1992,350.88
2025,1,1,0,13,4,2004,277.98
1420,1,1,1,14,8,1980,250.18
986,0,1,1,8,9,2012,186.86
3683,0,1,0,9,10,2022,408.82
988,1,1,1,10,8,2001,228.27
1621,0,1,0,8,2,2017,174.6
699,0,0,1,8,9,2016,167.36
2519,0,0,0,13,7,2005,258.33
2749,0,1,1,15,4,2020,294.37
2161,1,1,1,5,2,2009,260.49
2014,0,0,1,12,10,1993,266.3
1617,1,1,0,1,7,2023,279.06
872,1,1,0,11,5,2011,191.16
3660,1,0,1,6,8,2002,411.75
737,1,0,0,7,2,2024,138.08
2421,1,0,0,8,7,1981,280.25
1453,0,1,1,3,2,1999,138.28
596,0,0,0,8,10,1997,119.19
3169,0,1,0,5,5,2005,300.13
2129,1,0,0,7,9,2011,305.28
2904,0,0,1,5,3,2007,271.26
702,0,0,0,4,5,2004,107.97
1747,1,0,1,13,8,1984,247.9
921,1,1,1,7,4,2011,205.58
3600,0,1,0,14,7,2016,379.43
2766,1,0,1,9,10,1986,383.17
1832,0,1,0,11,9,1986,255.75
690,1,0,1,4,5,1997,154.47
1580,0,1,1,9,10,2011,248.42
2075,0,1,1,12,10,2022,314.51
2919,1,0,0,2,2,1988,297.52
3600,1,1,1,9,7,2003,448.54
3377,0,1,1,5,7,2009,359.53
2604,1,0,1,3,2,2006,281
2503,0,1,0,4,2,2019,253.08
2813,1,0,0,7,9,1985,356.93
3100,0,0,1,7,9,2013,360.11
3280,0,0,0,1,5,1981,270.65
3507,0,0,1,11,3,1983,303.1
3504,1,1,0,2,3,1984,345.69
2511,0,1,1,5,5,2015,272.6
3951,1,1,1,13,5,2019,447.5
573,0,0,0,15,7,1988,108.2
3785,0,1,1,5,10,2010,428.82
943,1,0,0,1,4,2011,155.39
2613,0,1,1,10,3,2014,268.56
2724,1,1,0,8,5,1980,313.6
501,1,1,0,15,3,2021,153.67
1791,0,1,0,11,2,1986,147.97
673,1,0,0,6,9,2008,194
1932,0,1,1,13,7,2005,231.69
2944,1,1,0,10,2,2009,299.25
2140,1,1,1,7,4,1986,266.86
3109,1,0,1,2,4,1991,344.76
1808,1,1,1,10,2,1990,240.79
3748,0,0,0,8,10,2003,368.95
2856,1,0,1,7,8,1987,345.81
1405,1,0,1,1,4,1983,199.6
3453,1,0,0,11,7,1983,376.32
3131,1,1,0,1,10,1982,384.6
3786,1,0,1,12,5,2024,402.28
781,1,0,1,7,3,2024,167.47
2493,1,0,1,2,3,1999,299.71
1121,0,1,0,14,7,2020,162.68
1871,0,0,0,13,10,1996,235.87
3169,1,0,0,7,6,1995,352.17
3121,0,1,0,4,6,2020,340
2942,0,0,1,8,7,1980,312.14
3819,0,1,0,8,4,2015,364.63
926,0,0,0,4,6,1982,131.09
3975,0,0,0,11,2,2013,343.06
3790,0,0,1,6,10,1991,404.1
3606,1,1,0,6,10,2005,429.12
